Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
CXR	VIET NAM		PCXR002	Secondary	gigabitethernet0/1	DSL	8192	2000			FI01UCSTFC		HKGT01	SELECT OFFNET	ORD-01132924.1				airporthubnet		APH
CZM	MEXICO		PCZM031	Primary	gigabitethernet0/1	MEA	100000	20000			FI028E8ZDC		MEXT02						airporthubnet		APH
CZM	MEXICO		PCZM031	Primary	serial0/0/0:0	FR	2048	2048			FI01NHRHD9		MEXT02	TELMEX	954421628				airporthubnet		APH
CZM	MEXICO		PCZM032	Secondary	gigabitethernet0/1	DSL	30720	30720			FI01NHRRC3		ATLL02	SELECT OFFNET	13435.CN				airporthubnet		APH
DAC	BANGLADESH		PDAC406	Primary	gigabitethernet0/0/1	MEA	10000	10000	2c:5a:0f:be:18:01	-	FI02855590	KDAC511	DACT02	ADN TELECOM					airporthubnet		APH
DAC	BANGLADESH		PDAC407	Secondary	gigabitethernet0/0/1	MEA	100000	10000	b4:a8:b9:ed:bb:41	-	FI02855792	KDAC510	DACT02	ADN TELECOM	ADNSL / DACTO/DACAP / 2mb / CCT-1				airporthubnet		APH
DAC	BANGLADESH		PDAC407	Secondary	gigabitethernet0/0/2	MEA	100000	10000			GO0FC8233D		DACT03						airporthubnet		APH
DAD	VIET NAM		PDAD047	Primary	gigabitethernet0/2	MEA	10000	4000	ec:bd:1d:e8:ac:52	-	FI029JX493	KHAN610	HANT03						airporthubnet		APH
DAD	VIET NAM		PDAD048	Secondary	gigabitethernet0/1	MEA	10000	4000	-	-	FI029JX691	KSGN610	SGNT03	VIET NAM POSTS AND TELECOMMUNICATIONS INTERNATIONAL	POR00020				airporthubnet		APH
DAD	VIET NAM		PDAD048	Secondary	gigabitethernet0/2	DSL	51200	51200			FI01KFJHFE		HKGX01	VIET NAM POSTS AND TELECOMMUNICATIONS INTERNATIONAL	POR00020				airporthubnet		APH
DAL-1S	UNITED STATES		PDAL739	Primary	gigabitethernet0/0/1	MEA	1000000	1000000			FI029T0HAB		DALL03						airporthubnet		APH
DAR	TANZANIA, UNITED REPUBLIC OF		PDAR246	Primary	gigabitethernet0/0/1	MEA	10000	2000	-	-	FI01FW7W84	KNBO610	NBOT03	LIQUID TELECOM	KPGN.941244..ATI				airporthubnet		APH
DAR	TANZANIA, UNITED REPUBLIC OF		PDAR248	Secondary	gigabitethernet0/0/1	MEA	1000000		-	-	FI01TMCMC1	KJNB513	JNBT02	LIQUID TELECOM	LUK010650				airporthubnet		APH
DEB	HUNGARY		PDEB059	Primary	gigabitethernet8	DSL	10000				GO0A730C1E		FRAT01	MAGYAR TELEKOM	CA0CXKXTE2				airporthubnet		APH
DEB	HUNGARY		PDEB060	Secondary	gigabitethernet8	DSL	100000				FI022W0VBC		FRAX01	INVITECH SOLUTIONS ZRT.	CA0CXP07DB				airporthubnet		APH
DEL-T3	INDIA		PDEL1033	Primary	gigabitethernet0/3	MEA	100000	35000			FI029QGNB3		DELT08						airporthubnet		APH
DEL-T3	INDIA		PDEL1085	Secondary	gigabitethernet0/3	MEA	100000	34000	-	-	FI029QGPAD	KQNF612	DELT07						airporthubnet		APH
DEL-XS	INDIA		PDEL2298	Primary	gigabitethernet0/0/1	MEA	100000	100000	-	-	FI01TJ65A8	KQNF613	DELT07	TATA COMMUNICATIONS LIMITED	CA0BPGPRD8				airporthubnet		APH
DEL-XS	INDIA		PDEL2299	Secondary	gigabitethernet0/0/1	MEA	1000000	100000			FI01UMVQDE		DELT08						airporthubnet		APH
DLM	TURKEY		PDLM013	Primary	serial0/1/0	FR	128	2048			FI01S5Y1AE		IZMT01	TURK TELEKOM A.S.	010000124966				airporthubnet		APH
DLM	TURKEY		PDLM014	Secondary	gigabitethernet0/0/1	DSL	8000	2000			FI01S5Y6A9		AMSX01	-	OSI-184891				airporthubnet		APH
DME	RUSSIAN FEDERATION		PDME052	Primary	gigabitethernet0/0/1	MEA	20480				FI01CA8RF6		MOWX03	ORANGE BUSINESS SERVICES	CID-000-098				airporthubnet		APH
DME	RUSSIAN FEDERATION		PDME054	Secondary	gigabitethernet0/0/1	MEA	100000	20000	-	-	FI01CA9CE7	KMOW514	MOWT01	OBS RUSSIA	CID-000-074				airporthubnet		APH
DMK	THAILAND		PDMK001	Primary	gigabitethernet0/0/1	MEA	100000	4000	-	-	FI028ED3B5	KHKG550	HKGT01	PCCW / UIH	SIT017-135475-L2W				airporthubnet		APH
DMK	THAILAND		PDMK002	Secondary	gigabitethernet0/0/1	DSL	16384	12000			GO06L384C0		SINX01	PCCW / JASTEL	SIT017-135437-I3W				airporthubnet		APH
DNK	UKRAINE		PDNK069	Primary	serial0/0/0:0	FR	1024	1024					IEVT02	DATAGROUP					airporthubnet		APH
DOH	QATAR		PDOH210	Primary	gigabitethernet0/0/1	MEA	100000	10000	-	-	FI029UEEA3	KDOH610	DOHS03	OOREDOO	20M Eth				airporthubnet		APH
DOH	QATAR		PDOH211	Secondary	gigabitethernet0/0/1	MEA	100000	10000	-	-	FI029UEGA1	KDOH611	DOHS04						airporthubnet		APH
DOH-DR	QATAR		PDOH513	Standalone	gigabitethernet0/0/1	DSL	16384	16384					BAHT01	Select Offnet					airporthubnet		APH
DPS	INDONESIA		PDPS093	Secondary	gigabitethernet0/2	MEA	10000	10000	e0:2f:6d:05:bb:82	-	FI01PW4D94	KJKT515	JKTT07	PT LINTASARTA	2016008612				airporthubnet		APH
DPS	INDONESIA		PDPS095	Primary	gigabitethernet0/3	MEA	100000	10000			FI021T3SB3		JKTT07	TELIN	TI-1901120-01				airporthubnet		APH
DRS	GERMANY		PDRS292	Primary	gigabitethernet0/0/1	MEA	100000	2000			GO07PFQP8D		BERT02	DT WHOLESALE	440/WEV2M/35100/35100/64				airporthubnet		APH
DRS	GERMANY		PDRS293	Secondary	gigabitethernet0/0/1	DSL	8192	8192			GO07PFQM90		FRAT01	SELECT OFFNET	ORD-71933422.1				airporthubnet		APH
DRW	AUSTRALIA		PDRW062	Primary	gigabitethernet0/1	MEA	10000	10000			FI01W9MTE0		MELT02	Optus					airporthubnet		APH
DRW	AUSTRALIA		PDRW063	Secondary	gigabitethernet0/1	DSL	51200	39000			FI01RJ6WCA		SYDX01	SELECT OFFNET	M2-BKC-20449-PBD				airporthubnet		APH
DTM	GERMANY		PDTM247	Primary	gigabitethernet8	DSL	15000	2048			FI01PPRE84		FRAX01	-	CA0B6R4FB4				airporthubnet		APH
DTM	GERMANY		PDTM248	Secondary	gigabitethernet8	DSL	15000	10240			FI01PPRJ8B		LONX03	-	CA0B6R67C5				airporthubnet		APH
DUB	IRELAND		PDUB627	Primary	fastethernet0/1	MEA	100000	30000			FI0272N98D		DUBT04	BT IRELAND	ORBSETHW58656				airporthubnet		APH
DUB	IRELAND		PDUB628	Secondary	fastethernet2/1	MEA	100000	30000			FI0272NDF0		DUBX01	BT IRELAND	ORBSETHW37125				airporthubnet		APH
DUR	SOUTH AFRICA		PDUR199	Primary	gigabitethernet0/1	MEA	100000	10000			FI01VXHFB4		JNBT01						airporthubnet		APH
DUR	SOUTH AFRICA		PDUR200	Secondary	gigabitethernet0/0/0	DSL	30720	20000			FI019PFJ8E		JNBT01	SELECT OFFNET	NSPIXP2				airporthubnet		APH
DUS	GERMANY		PDUS312	Primary	gigabitethernet0/0/1	MEA	100000	50000	70:c9:c6:78:d2:61	-	FI029EZ2B7	KZRB526	FRAX01						airporthubnet		APH
DUS	GERMANY		PDUS313	Secondary	gigabitethernet0/0/1	MEA	100000	50000	70:c9:c6:81:f1:d1	-	FI029EZ6B3	KDUS511	DUST01						airporthubnet		APH
DVO	PHILIPPINES		PDVO046	Primary	gigabitethernet0/0/1	MEA	100000	2000	70:35:09:f7:ef:01	-	FI01X23LC1	KMNL512	MNLT04	PHILIPPINE LONG DISTANCE TELEPHONE COMPANY	EPL03-092018-47650				airporthubnet		APH
DVO	PHILIPPINES		PDVO047	Secondary	gigabitethernet0/0/1	DSL	8192	8192			FI01X23PDD		HKGT01	SELECT OFFNET	0026NHE8				airporthubnet		APH
DXB-EKDC	UNITED ARAB EMIRATES		PDXB1641	Primary	gigabitethernet0/1	MEA	100000	15000			FI01NJAKD5		DXBS03	ETISALAT	01312261350				airporthubnet		APH
DXB-EKDC	UNITED ARAB EMIRATES		PDXB1642	Secondary	gigabitethernet0/1	MEA	100000	15000	-	-	FI01NJAND0	KDXB611	DXBS02						airporthubnet		APH
EBB	UGANDA		PEBB052	Primary	gigabitethernet0/0/1	MEA	100000	6000			FI01DWL8E8		NBOT03	LIQUID TELECOM	LUK010827				airporthubnet		APH
EBB	UGANDA		PEBB055	Secondary	gigabitethernet0/2	DSL	8192	8192			FI01G207B9		LONX03	-	5445082870				airporthubnet		APH
EDI	UNITED KINGDOM		PEDI226	Primary	fastethernet0/1	MEA	100000	30000			FI01RY4RA6		LONX03	BT WHOLESALE	ETBA12657200				airporthubnet		APH
EDI	UNITED KINGDOM		PEDI226	Primary	gigabitethernet0/0/1	MEA	100000	30000			FI029Q7ZA7		LONX03						airporthubnet		APH
