Device_name;Interface_name;Interface_Descr;BandWidth;Remote_Device;ORD__Customer_code;ORD__Customer_name
"PNOS002";"gigabitethernet7";"--- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNQY033";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNQY034";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNRT125";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNRT126";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PNRT432";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PNRT433";"gigabitethernet7";"-";"1000000";"-";"53849";"airporthub"
"PNTE564";"gigabitethernet1";"-- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE564";"gigabitethernet3";"-- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE564";"gigabitethernet4";"-- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE564";"gigabitethernet5";"-- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE564";"gigabitethernet7";"-- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE564";"gigabitethernet9";"-- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet1";"-- trunk to campus switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet3";"-- trunk to EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet4";"-- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet5";"-- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet7";"-- Any other use";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNTE565";"gigabitethernet9";"-- For APH shared internet";"1000000";"-";"57617";"aph type 2 infrastructure"
"PNUE431";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"POAK154";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"POAK155";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"POGG030";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"POGG031";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PORD261";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PORD261";"gigabitethernet0/0/2";"-- TO EAS KDPA650 Gi2/21 - OB=OPEN4";"10240";"KDPA650";"53849";"airporthub"
"PORD262";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PORD262";"gigabitethernet0/0/2";"-- TO EAS KDNE550 Gi2/20 - OB=OPEN4";"10240";"KDNE550";"53849";"airporthub"
"PORD446";"gigabitethernet3";"WAN1 ORCH=RESEAU";"1000000";"WAN1";"53849";"airporthub"
"POSR073";"gigabitethernet8";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"POSR074";"gigabitethernet9";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"POTP029";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPAD058";"gigabitethernet9";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPAD059";"gigabitethernet9";"-";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPAP126";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPAP127";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPAR8626";"gigabitethernet0/2";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PPAR8627";"gigabitethernet0/2";"-";"1000000";"-";"56066";"sita customer datacenter hub infra"
"PPDK019";"gigabitethernet0/2";"-";"1000000";"-";"53849";"airporthub"
"PPDK019";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PPDK020";"gigabitethernet0/2";"-";"1000000";"-";"53849";"airporthub"
"PPDK020";"gigabitethernet0/3";"-";"1000000";"-";"53849";"airporthub"
"PPDL021";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPDL022";"gigabitethernet0";"-";"1000000";"-";"53849";"airporthub"
"PPDP008";"gigabitethernet2";"--- trunk to OCUP firewall or switches";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP008";"gigabitethernet4";"--- trunk to other EFM switch";"1000000";"-";"57617";"aph type 2 infrastructure"
"PPDP008";"gigabitethernet5";"--- trunk to distribution external switch";"1000000";"-";"57617";"aph type 2 infrastructure"
