HAV,,CUBA,,PHAV257,Standalone,4096K,58901,,"sita multi-customer hub infrastructure",amrnet_CMW,PHAV313,GigabitEthernet0/0/1.64,gigabitethernet0/0/1,amrnet_CMW,4096,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,58978,,"res2 bv",res2bvnet,SHAV2951,GigabitEthernet0/0/2.19,gigabitethernet0/0/2,res2bvnet,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,512K,60742,,"air france - compagnie nationale air france s.a.",jointnet,PHAV303,GigabitEthernet0/0/1.3,gigabitethernet0/0/1,jointnet,512,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,128K,414,,"globalia corporacion empresarial s.a. dba air europa lineas aereas",globalianet,PHAV291,GigabitEthernet0/0/1.36,gigabitethernet0/0/1,globalianet,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,2048K,7927,,"jetblue airways corporation",jetbluenet,SHAV2961,GigabitEthernet0/0/2.35,gigabitethernet0/0/2,jetbluenet,2048,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,1024K,164,,"united airlines, inc.",unitednet,PHAV301,GigabitEthernet0/0/1.52,gigabitethernet0/0/1,unitednet,1024,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,1024K,56284,,"caribbean airlines limited",bwianet,SHAV2741,GigabitEthernet0/0/2.34,gigabitethernet0/0/2,bwianet,1024,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,128K,5,,"air china ltd.",travelskynet,PHAV300,GigabitEthernet0/0/1.51,gigabitethernet0/0/1,travelskynet,128,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,12,,"iberia lineas aereas de espana sociedad anonima operadora",iberianet,SHAV2791,GigabitEthernet0/0/2.29,gigabitethernet0/0/2,iberianet,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,122,,"latam airlines group s.a.",lanchilenet,SHAV2931,GigabitEthernet0/0/2.28,gigabitethernet0/0/2,lanchilenet,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
