Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PDEL2956	60	singapore airlines ltd.	sqnet	IN	INDIA	UCPEDEL0005	DEL-T3		ge0/0.1503	PDEL1033	5120	6144	PDEL2957	UCPEDEL0006	ge0/4.3952	5120	PDEL1085	6144	gigabitethernet0/3	gigabitethernet0/3
PDEL2982	387	emirates	emiratesnet_aph	IN	INDIA	UCPEDEL0005	DEL-T3		ge0/4.3951	PDEL1033	1024	4096	PDEL2983	UCPEDEL0006	ge0/0.1507	1024	PDEL1085	4096	gigabitethernet0/3	gigabitethernet0/3
PDPS177	85	cathay pacific airways	cxnet	ID	INDONESIA	UCPEDPS0002	DPS	Gold	ge0/0.1502	PDPS095	1536	9216	PDPS178	UCPEDPS0003	ge0/4.3951	1536	PDPS093	9216		
PDPS179	60	singapore airlines ltd.	sqnet	ID	INDONESIA	UCPEDPS0002	DPS	Platinum	ge0/0.1503	PDPS095	2048	5120	PDPS180	UCPEDPS0003	ge0/4.3951	2048	PDPS093	5120		
PDPS186	387	emirates	emiratesnet_aph	ID	INDONESIA	UCPEDPS0002	DPS		ge0/0.1507	PDPS095	1024	5120	PDPS187	UCPEDPS0003	ge0/4.3951	1024	PDPS093	5120		
PDRW094	60	singapore airlines ltd.	sqnet	AU	AUSTRALIA	UCPEDRW0001	DRW		ge0/0.1503	PDRW062	2048	4096	PDRW095	UCPEDRW0002	ge0/4.3951	2048	PDRW063	4096	gigabitethernet0/1	gigabitethernet0/1
PDUB1847	164	united airlines  inc.	unitednet	IE	IRELAND	UCPEDUB0004	DUB		ge0/0.1510	PDUB627	10240	30720	PDUB1848	UCPEDUB0005	ge0/4.3951	10240	PDUB628	30720	fastethernet0/1	fastethernet2/1
PDUB1859	387	emirates	emiratesnet_aph	IE	IRELAND	UCPEDUB0004	DUB		ge0/0.1507	PDUB627	3072	15360	PDUB1860	UCPEDUB0005	ge0/4.3951	3072	PDUB628	15360	fastethernet0/1	fastethernet2/1
PDUS1237	387	emirates	emiratesnet_aph	DE	GERMANY	UCPEDUS0001	DUS		ge0/0.1507	PDUS312	1024	4096	PDUS1238	UCPEDUS0002	ge0/4.3951	1024	PDUS313	4096	gigabitethernet0/0/1	gigabitethernet0/0/1
PEWR969	60	singapore airlines ltd.	sqnet	US	UNITED STATES	UCPEEWR0001	EWR	Platinum	ge0/0.1503	PEWR302	5120	6144	PEWR970	UCPEEWR0002	ge0/4.3951	5120	PEWR303	6144	gigabitethernet0/0/0	gigabitethernet0/0/0
PEZE238	164	united airlines  inc.	unitednet	AR	ARGENTINA	UCPEEZE0001	EZE	Gold	ge0/0.1510	PEZE069	10240	30720	PEZE239	UCPEEZE0002	ge0/4.3951	10240	PEZE070	30720	gigabitethernet0/1	
PFCO401	85	cathay pacific airways	cxnet		ITALY	UCPEFCO0001	FCO	Gold	ge0/0.1502	PFCO258	4096	5120							gigabitethernet0/0/1	
PFCO406	166	china airlines ltd.	china_airnet	IT	ITALY	UCPEFCO0001	FCO	Gold	ge0/0.1505	PFCO258	1024	5120	PFCO407	UCPEFCO0002	ge0/4.3951	1024	PFCO259	5120	gigabitethernet0/0/1	gigabitethernet0/0/1
PFCO415	164	united airlines  inc.	unitednet	IT	ITALY	UCPEFCO0001	FCO	Gold	ge0/0.1510	PFCO258	8192	30720	PFCO416	UCPEFCO0002	ge0/4.3951	8192	PFCO259	30720	gigabitethernet0/0/1	gigabitethernet0/0/1
PFCO421	387	emirates	emiratesnet_aph	IT	ITALY	UCPEFCO0001	FCO		ge0/0.1507	PFCO258	1536	8192	PFCO422	UCPEFCO0002	ge0/4.3951	1536	PFCO259	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PFCO404	85	cathay pacific airways	cxnet		ITALY	UCPEFCO0002	FCO	Gold	ge0/4.3951	PFCO259	4096	5120							gigabitethernet0/0/1	gigabitethernet0/0/1
