UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEFRA0004	HFRA0004	GO0CP5N753	FRA	FRA	53849	IC01	cisco	encs5412/k9	CI00166071	BVPN	BVPNINT	No	Reserved	-	2021/05/12 09:08:42	12.0	16000.0	480000.0	4	PFRA1023	Secondary
UCPEFRA0005	HFRA0005	GO0EVXX342	FRA	FRA	53849	IC01	cisco	csp-5444	CI00212209	BVPN	BVPNINT	No	Reserved	-	2023/02/06 07:49:11	12.0	16000.0	480000.0	4	PFRA1021	Primary
UCPEFRA0006	HFRA0006	GO0EW1CY5D	FRA	FRA	53849	IC01	cisco	encs5412/k9	CI00166071	BVPN	BVPNINT	No	Reserved	-	2023/03/01 09:12:26	12.0	16000.0	480000.0	4	PFRA1023	Secondary
UCPEFUK0001	HFUK0001	GO09UAN225	FUK	FUK	53849	IC01	cisco	encs5412/k9	CI00167836	BVPN	BVPNINT	No	Reserved	-	2019/09/23 10:59:06	12.0	16000.0	480000.0	4	PFUK071	Primary
UCPEFUK0002	HFUK0002	GO09UAN423	FUK	FUK	53849	IC01	cisco	encs5412/k9	CI00167836	BVPN	BVPNINT	No	Reserved	-	2019/09/23 11:04:30	12.0	16000.0	480000.0	4	PFUK072	Secondary
UCPEFUK0003	HFUK0003	GO0BR2YK2A	FUK	FUK	53849	IC01	cisco	encs5412/k9	CI00187671	BVPN	BVPNINT	No	Reserved	-	2022/02/11 06:53:08	12.0	16000.0	480000.0	4	PFUK071	Primary
UCPEFUK0004	HFUK0004	GO0BR2YJ2B	FUK	FUK	53849	IC01	cisco	encs5412/k9	CI00187671	BVPN	BVPNINT	No	Reserved	-	2022/02/11 06:56:17	12.0	16000.0	480000.0	4	PFUK072	Secondary
UCPEGIG0001	HGIG0001	GO0ABRQ826	GIG	GIG	53849	IC01	cisco	encs5412/k9	CI00173837	BVPN	BVPNINT	No	Reserved	-	2021/01/20 12:04:34	12.0	16000.0	480000.0	4	PGIG075	Primary
UCPEGIG0002	HGIG0002	GO0ABRQA5F	GIG	GIG	53849	IC01	cisco	encs5412/k9	CI00173837	BVPN	BVPNINT	No	Reserved	-	2021/01/20 12:13:06	12.0	16000.0	480000.0	4	PGIG076	Secondary
UCPEGRU0001	HGRU0001	GO0ABSC02B	GRU	GRU	53849	IC01	cisco	encs5412/k9	CI00173838	BVPN	BVPNINT	No	Reserved	-	2020/10/22 19:47:20	12.0	16000.0	480000.0	4	PGRU077	Primary
UCPEGRU0002	HGRU0002	GO0ABSC229	GRU	GRU	53849	IC01	cisco	encs5412/k9	CI00173838	BVPN	BVPNINT	No	Reserved	-	2020/10/22 19:52:21	12.0	16000.0	480000.0	4	PGRU078	Secondary
UCPEHAN0003	HHAN0003	GO0AMCYP28	HAN	HAN	53849	IC01	cisco	encs5412/k9	CI00178213	BVPN	BVPNINT	No	Reserved	-	2020/07/26 15:09:11	12.0	16000.0	480000.0	4	PHAN122	Primary
UCPEHAN0004	HHAN0004	GO0AMCYR2A	HAN	HAN	53849	IC01	cisco	encs5412/k9	CI00178213	BVPN	BVPNINT	No	Reserved	-	2020/07/26 15:12:42	12.0	16000.0	480000.0	4		
UCPEHKG0003	HHKG0003	GO09KJRV78	HKG	HKG	53849	IC01	cisco	encs5412/k9	CI00067022	BVPN	BVPNINT	No	Reserved	-	2019/08/05 08:19:31	12.0	16000.0	480000.0	4		
UCPEHKG0004	HHKG0004	GO09KJRX76	HKG	HKG	53849	IC01	cisco	encs5412/k9	CI00067022	BVPN	BVPNINT	No	Reserved	-	2019/08/05 09:40:47	12.0	16000.0	480000.0	4	PHKG1348	Secondary
UCPEHKG0007	HHKG0007	GO0A9W9633	HKG	HKG	53849	IC01	cisco	encs5412/k9	CI00067022	BVPN	BVPNINT	No	Reserved	-	2022/02/11 06:27:28	12.0	16000.0	480000.0	4		
UCPEHKG0008	HHKG0008	GO0A9W6336	HKG	HKG	53849	IC01	cisco	encs5412/k9	CI00067022	BVPN	BVPNINT	No	Reserved	-	2022/02/11 06:30:56	12.0	16000.0	480000.0	4	PHKG1348	Secondary
UCPEHKT0001	HHKT0001	GO0AHT4X52	HKT	HKT	53849	IC01	cisco	encs5412/k9	CI00176722	BVPN	BVPNINT	No	Reserved	-	2020/07/09 12:08:26	12.0	16000.0	480000.0	4	PHKT048	Primary
UCPEHKT0002	HHKT0002	GO0AHT4Z50	HKT	HKT	53849	IC01	cisco	encs5412/k9	CI00176722	BVPN	BVPNINT	No	Reserved	-	2020/07/09 12:13:43	12.0	16000.0	480000.0	4	PHKT049	Secondary
UCPEHND0001	HHND0001	GO09UV3Z3F	HND	HND	53849	IC01	cisco	encs5412/k9	CI00167841	BVPN	BVPNINT	No	Reserved	-	2019/09/27 07:57:13	12.0	16000.0	480000.0	4	PHND204	Primary
