Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PSIN5246	PSIN5246	gigabitethernet3	U	up	up	WAN-INTERNET-VMS SINGNET ETHERNET 200M	WAN1 ORCH=RESEAU	1000000	UCPESIN0003	SIN	SINGAPORE TELECOMMUNICATIONS LIMITED	188000	183000	SGP0064571	VMS SingNet Ethernet 200M	Select DSL
PSIN5280	PSIN5280	gigabitethernet3	U	up	up	WAN-INTERNET-VMS SINGNET ETHERNET 100M	WAN1 ORCH=RESEAU	1000000	UCPESIN0006	SIN4	SINGAPORE TELECOMMUNICATIONS LIMITED	100000	100000	SGP0064570	VMS SingNet Ethernet 100M	Select DSL
PSJO542	PSJO542	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS - 100M/100M	WAN1 ORCH=RESEAU	1000000	UCPESJO0002	SJO	UFINET LATAM SLU	100000	100000	CRI0047526	VMS Dedicated Internet Access - 100M/100M	Select DSL
PSUB240	PSUB240	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET PREMIUM 50	WAN1 ORCH=RESEAU	51200	UCPESUB0008	SUB	PT LINTASARTA	50000	50000	IDN0052276	VMS Dedicated Internet Premium 50	Select DSL
PSYD3045	PSYD3045	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WBI BUSINESS PREMIUM 200M	WAN1 ORCH=RESEAU	1000000	UCPESYD0003	SYD	TELSTRA	200000	200000	AUS0072401	VMS WBI Business Premium 200M	Select DSL
PTPE1838	PTPE1838	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET TW < 8M	WAN1 ORCH=RESEAU	1000000	UCPETPE0004	TPE	Select Offnet	50000	50000	ST117VEN00	SIA Offnet TW < 8M	Select DSL
PUIO358	PUIO358	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DIRECT INTERNET ACCESS 20M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEUIO0002	UIO	UFINET LATAM SLU	20000	20000	ECU0071684	VMS Direct Internet Access 20M	Select DSL
PYVR514	PYVR514	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS 100M	WAN1 ORCH=RESEAU	1000000	UCPEYVR0002	YVR	GTT	95000	94000	CAN0061898	VMS Dedicated Internet Access 100M	Select DSL
PZRH2259	PZRH2259	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET DIRECT 100 - DED FIBRE	WAN1 ORCH=RESEAU	1000000	UCPEZRH0002	ZRH	SUNRISE COMMUNICATIONS	100000	100000	CHE0047922	VMS internet direct 100 - Ded Fibre	Select DSL
PAMS2790		gigabitethernet3						100000	UCPEAMS0002	AMS	Select Offnet	100000	100000	SN317VEN00	SIA Offnet NL < 8M	Select DSL
