Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PBKK1989	PBKK1989	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET TH < 150M	WAN1 ORCH=RESEAU	1000000	UCPEBKK0003	BKK	Select Offnet	153600	153600	ST398CEN00	SIA Offnet TH < 150M	Select DSL
PBKK1990	PBKK1990	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET TH < 150M	WAN1 ORCH=RESEAU	1000000	UCPEBKK0004	BKK	PCCW / TOT	150000	150000	FT398CEY00	SIA Offnet TH < 150M	Select DSL
PBLR1480	PBLR1480	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET IN < 100M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEBLR0002	BLR	Select Offnet	100000	97000	FI2GBWEN00	SIA Offnet IN < 100M	Select DSL
PBNE1008	PBNE1008	gigabitethernet3	U	up	up	WAN-INTERNET-VMS EVOLVE INTERNET PREMIUM ON-NET 200M	WAN1 ORCH=RESEAU	1000000	UCPEBNE0002	BNE	OPTUS	200000	200000	AUS0080871	VMS Evolve Internet Premium On-Net 200M	Select DSL
PBOG1490	PBOG1490	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS 50M	WAN1 ORCH=RESEAU	1000000	UCPEBOG0004	BOG	UFINET LATAM SLU	50000	50000	COL0064704	VMS Dedicated Internet Access 50M	Select DSL
PBOM2613	PBOM2613	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET IN < 30M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEBOM0006	BOM	Select Offnet	100000	100000	SI2164EN00	SIA Offnet IN < 30M	Select DSL
PBOS910	PBOS910	gigabitethernet3	U	up	up	WAN-INTERNET-VMS VZB INTERNET DEDICATED 100M	WAN1 ORCH=RESEAU	1000000	UCPEBOS0002	BOS	VERIZON BUSINESS	100000	100000	USA0066492	VMS VZB Internet Dedicated 100M	Select DSL
PBRU5455	PBRU5455	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IP ACCESS - FIBRE 50M	WAN1 ORCH=RESEAU	1000000	UCPEBRU0009	BRU	COLT TECHNOLOGY SERVICES	50000	50000	BEL0050306	VMS IP Access - Fibre 50M	Select DSL
PBSB384	PBSB384	gigabitethernet3	U	up	up	WAN-INTERNET-VMS EMBRATEL - BUSINESS LINK DIRECT FIBER 50M	WAN1 ORCH=RESEAU	1000000	UCPEBSB0005	BSB	CLARO S/A	51200	51200	BRA0055207	VMS Embratel - Business Link Direct Fiber 50M	Select DSL
PCAN1164	PCAN1164	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET CN < 30M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPECAN0005	CAN	DSL Offnet (China Telecom)	15000	15000	FC71B0EN00	SIA Offnet CN < 30M	Select DSL
